source,target ,weight,directed,FloorPlan,Staircase,BlockConn,Remarks,new,X,Y,status
(C1) Corridor 1,(C1) Art & Craft Store,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 1,(C1) Design 1,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 1,(C1) Science 2,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 1,(C1) Reading Area,1,FALSE,C1,-,-,,,,,Old
(C1) Reading Area,(C1) Corridor 2,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 2,(C1) Design 2,1,FALSE,C1,-,,,,,,Old
(C1) Corridor 2,(C1) Science 1,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 2,(C1) Teacher's Store Room,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 2,(C1) Back Gate,1,FALSE,C1,-,-,,,,,Old
(C1) Corridor 2,(C1) Core 2,1,FALSE,C1,-,-,,SSL,,,Old
(C1) Core 2,(C2) Core 2,1,FALSE,C1,C1-C2,-,,,,,Old
,,,,,,,,,,,Old
(C2) Core 1,(C3) Core 1,1,FALSE,C2,C2-C3,-,,,,,Old
(C2) Corridor 1,(C2) Core 1,1,FALSE,C2,-,-,,,,,Old
(C2) Staff Corridor,(C3) Staff Corridor,1,FALSE,C2,C2-C3,-,,,,,Old
(C2) Staff Corridor,(C2) Curriculum Office,1,FALSE,C2,-,-,,,,,Old
(C2) Staff Corridor,(C2) Level 2 Staff Room,1,FALSE,C2,-,-,,,,,Old
(C2) Level 2 Staff Room,(C2) Pantry,1,FALSE,C2,-,-,,,,,Old
(C2) Ext Corridor,(D2) Sky Bridge,1,FALSE,C2,C2-D2,-,,,,,Old
(C2) Ext Corridor,(C2) Staff Corridor,1,FALSE,C2,-,-,,,,,Old
(C2) Ext Corridor,(C2) Corridor 1,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 1,(C2) Toilet,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 1,(C2) Classroom 1,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 1,(C2) Classroom 2,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 1,(C2) Classroom 6,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 1,(C2) Classroom 7,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 1,(C2) Reading Area,1,FALSE,C2,-,-,,,,,Old
(C2) Reading Area,(C2) Open Reading Area 1,1,FALSE,C2,-,-,,,,,Old
(C2) Reading Area,(C2) Open Reading Area 2,1,FALSE,C2,-,-,,,,,Old
(C2) Reading Area,(C2) Corridor 2,1,FALSE,C2,-,-,,,,,Old
(C2) Corridor 2,(C2) Classroom 3,1,FALSE,C2,-,-,,,,,Old
